Date,"Total Cases","New Cases","New Cases 7-Day Moving Average","Case Growth","Cases Growth 7DMA","Total Deaths","New Deaths","New Deaths 7DMA","Death Growth","Death Growth 7DMA","Total Recoveries","New Recoveries","Recovery Rate","Active Cases","Case Fatality Rate (CFR)","Adjusted CFR","Total Deaths per MM Population","Total Cases per MM Population","Active Cases per ICU Bed"
2020-02-14,3,0,0,0,0,1,0,0,0,0,1,0,33.33%,1,33.33%,50%,0.01,0.03
2020-02-13,3,0,0,0,7.14%,1,0,0,0,0,1,0,33.33%,1,33.33%,50%,0.01,0.03
2020-02-12,3,0,0,0,7.14%,1,0,0,0,0,1,1,33.33%,1,33.33%,50%,0.01,0.03
2020-02-11,3,0,0,0,7.14%,1,0,0,0,0,0,0,0%,2,33.33%,100%,0.01,0.03
2020-02-10,3,0,0,0,7.14%,1,0,0,0,0,0,0,0%,2,33.33%,100%,0.01,0.03
2020-02-09,3,0,0,0,7.14%,1,0,0,0,0,0,0,0%,2,33.33%,100%,0.01,0.03
2020-02-08,3,0,0,0,21.43%,1,0,0,0,0,0,0,0%,2,33.33%,100%,0.01,0.03
2020-02-07,3,1,0,50%,21.43%,1,0,0,0,0,0,0,0%,2,33.33%,100%,0.01,0.03
2020-02-06,2,0,0,0,14.29%,1,0,0,0,0,0,0,0%,1,50%,100%,0.01,0.02
2020-02-05,2,0,0,0,14.29%,1,0,0,0,0,0,0,0%,1,50%,100%,0.01,0.02
2020-02-04,2,0,0,0,16.67%,1,0,0,0,0,0,0,0%,1,50%,100%,0.01,0.02
2020-02-03,2,0,0,0,20%,1,0,0,0,0,0,0,0%,1,50%,100%,0.01,0.02
2020-02-02,2,1,1,100%,25%,1,1,0,0,0,0,0,0%,1,50%,100%,0.01,0.02
2020-02-01,1,0,0,0,0,0,0,0,0,0,0,0,0%,1,0%,0,0,0.01
2020-01-31,1,0,1,0,0,0,0,0,0,0,0,0,0%,1,0%,0,0,0.01
2020-01-30,1,1,1,0,0,0,0,0,0,0,0,0,0%,1,0%,0,0,0.01
